rowid,page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
37,2312,Frank Castle (Earth-616),\/Frank_Castle_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,878,Feb-74,1974
38,1265,Luke Cage (Earth-616),\/Luke_Cage_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,856,Jun-72,1972
39,1677,Rogue (Anna Marie) (Earth-616),\/Rogue_(Anna_Marie)_(Earth-616),Secret Identity,Good Characters,Green Eyes,Auburn Hair,Female Characters,,Living Characters,850,,
40,25222,Conan (Earth-616),\/Conan_(Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,787,Oct-70,1970
41,6537,Joseph Robertson (Earth-616),\/Joseph_Robertson_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,White Hair,Male Characters,,Living Characters,752,Aug-67,1967
42,1592,Pietro Maximoff (Earth-616),\/Pietro_Maximoff_(Earth-616),Public Identity,Good Characters,Blue Eyes,Silver Hair,Male Characters,,Living Characters,740,Mar-64,1964
43,1818,Hercules (Earth-616),\/Hercules_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Bisexual Characters,Living Characters,725,Oct-65,1965
44,1448,Victor von Doom (Earth-616),\/Victor_von_Doom_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,721,Jul-62,1962
45,2081,Max Eisenhardt (Earth-616),\/Max_Eisenhardt_(Earth-616),Public Identity,Neutral Characters,Grey Eyes,Bald,Male Characters,,Living Characters,709,Sep-63,1963
46,2307,Elizabeth Braddock (Earth-616),\/Elizabeth_Braddock_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Purple Hair,Female Characters,Bisexual Characters,Living Characters,708,Dec-76,1976
47,2556,Norrin Radd (Earth-616),\/Norrin_Radd_(Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Living Characters,696,Mar-66,1966
48,1740,Norman Osborn (Earth-616),\/Norman_Osborn_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Auburn Hair,Male Characters,,Living Characters,692,Jul-64,1964
49,8651,Eugene Thompson (Earth-616),\/Eugene_Thompson_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,689,Aug-62,1962
50,2009,Simon Williams (Earth-616),\/Simon_Williams_(Earth-616),Public Identity,Good Characters,Red Eyes,Grey Hair,Male Characters,,Living Characters,686,Oct-64,1964
51,1276,Samuel Guthrie (Earth-616),\/Samuel_Guthrie_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,657,Nov-82,1982
52,15823,James Buchanan Barnes (Earth-616),\/James_Buchanan_Barnes_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,641,Mar-41,1941
53,1680,Remy LeBeau (Earth-616),\/Remy_LeBeau_(Earth-616),Secret Identity,Good Characters,Black Eyeballs,Brown Hair,Male Characters,,Living Characters,636,Jul-90,1990
54,1866,Daniel Rand (Earth-616),\/Daniel_Rand_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,618,May-74,1974
55,32498,Nathan Summers (Earth-616),\/Nathan_Summers_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,612,Jan-86,1986
56,1772,Elizabeth Brant (Earth-616),\/Elizabeth_Brant_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,599,Sep-63,1963
57,1896,Richard Jones (Earth-616),\/Richard_Jones_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,590,May-62,1962
58,1496,Edwin Jarvis (Earth-616),\/Edwin_Jarvis_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,567,Nov-64,1964
59,1802,Alexander Summers (Earth-616),\/Alexander_Summers_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,558,Mar-69,1969
60,1811,Patricia Walker (Earth-616),\/Patricia_Walker_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,550,Nov-44,1944
61,1836,Human Torch (Android) (Earth-616),\/Human_Torch_(Android)_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,548,Oct-39,1939
62,2042,Loki Laufeyson (Earth-616),\/Loki_Laufeyson_(Earth-616),No Dual Identity,Neutral Characters,Green Eyes,Black Hair,Genderfluid Characters,Bisexual Characters,Living Characters,532,Aug-49,1949
63,1643,Franklin Nelson (Earth-616),\/Franklin_Nelson_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Living Characters,528,Apr-64,1964
64,1285,Brian Braddock (Earth-616),\/Brian_Braddock_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,528,Oct-76,1976
65,1453,Otto Octavius (Earth-616),\/Otto_Octavius_(Earth-616),Secret Identity,Neutral Characters,Hazel Eyes,Brown Hair,Male Characters,,Deceased Characters,526,Jul-63,1963
66,6194,James Rhodes (Earth-616),\/James_Rhodes_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,525,Jan-79,1979
67,1487,Timothy Dugan (Earth-616),\/Timothy_Dugan_(Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,517,May-63,1963
68,1380,Crystalia Amaquelin (Earth-616),\/Crystalia_Amaquelin_(Earth-616),Public Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,512,Dec-65,1965
69,1613,Samuel Wilson (Earth-616),\/Samuel_Wilson_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,512,Sep-69,1969
70,1931,Wilson Fisk (Earth-616),\/Wilson_Fisk_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,,Living Characters,503,Jul-67,1967
71,1596,Odin Borson (Earth-616),\/Odin_Borson_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,502,Oct-62,1962
72,1409,Deadpool (Wade Wilson),\/Deadpool_(Wade_Wilson),Secret Identity,Neutral Characters,Brown Eyes,Bald,Male Characters,Transvestites,Living Characters,500,Feb-91,1991
73,1187,Dane Whitman (Earth-616),\/Dane_Whitman_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,478,Dec-67,1967
74,1741,Harold Osborn (Earth-616),\/Harold_Osborn_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,474,Dec-65,1965
75,68416,Franklin Richards (Earth-616),\/Franklin_Richards_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,473,Nov-68,1968
76,2589,Jessica Drew (Earth-616),\/Jessica_Drew_(Earth-616),Secret Identity,Good Characters,Green Eyes,Auburn Hair,Female Characters,,Living Characters,471,Feb-77,1977
77,2626,Roberto da Costa (Earth-616),\/Roberto_da_Costa_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,464,Nov-82,1982
78,2007,Rahne Sinclair (Earth-616),\/Rahne_Sinclair_(Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,448,Nov-82,1982
79,1130,Elizabeth Ross (Earth-616),\/Elizabeth_Ross_(Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,446,May-62,1962
80,2278,Lorna Dane (Earth-616),\/Lorna_Dane_(Earth-616),Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,,Living Characters,433,Oct-68,1968
81,67048,Blaine Colt (Earth-616),\/Blaine_Colt_(Earth-616),Public Identity,,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,429,,
82,1705,Johnathon Blaze (Earth-616),\/Johnathon_Blaze_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Reddish Blond Hair,Male Characters,,Living Characters,426,Aug-72,1972
83,2550,Sif (Earth-616),\/Sif_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,422,Mar-64,1964
84,2365,Red Hulk (Thaddeus Ross),\/Red_Hulk_(Thaddeus_Ross),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,415,May-62,1962
85,1900,Jubilation Lee (Earth-616),\/Jubilation_Lee_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,408,May-89,1989
86,2420,Volstagg (Earth-616),\/Volstagg_(Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,406,Aug-65,1965
87,1127,Balder Odinson (Earth-616),\/Balder_Odinson_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,403,Oct-62,1962
88,1676,Galactus (Earth-616),\/Galactus_(Earth-616),Secret Identity,Neutral Characters,Brown Eyes,No Hair,Male Characters,,Living Characters,390,Mar-66,1966
89,1395,Danielle Moonstar (Earth-616),\/Danielle_Moonstar_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,388,Nov-82,1982
90,2183,Marc Spector (Earth-616),\/Marc_Spector_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,387,Aug-75,1975
91,1782,Gwendolyne Stacy (Earth-616),\/Gwendolyne_Stacy_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,384,Dec-65,1965
92,2137,Medusalith Amaquelin (Earth-616),\/Medusalith_Amaquelin_(Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,382,Mar-65,1965
93,2374,Sabretooth (Victor Creed),\/Sabretooth_(Victor_Creed),Secret Identity,Bad Characters,Amber Eyes,Blond Hair,Male Characters,,Living Characters,382,Aug-77,1977
94,2077,Illyana Rasputina (Earth-616),\/Illyana_Rasputina_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,380,May-75,1975
95,2344,Johann Shmidt (Earth-616),\/Johann_Shmidt_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,376,Aug-41,1941
96,1616,Fandral (Earth-616),\/Fandral_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,375,Aug-65,1965
97,1131,Sean Cassidy (Earth-616),\/Sean_Cassidy_(Earth-616),Secret Identity,Neutral Characters,Green Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,374,Jan-67,1967
98,2487,Thomas Raymond (Earth-616),\/Thomas_Raymond_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,373,Sep-40,1940
99,1572,Uatu (Earth-616),\/Uatu_(Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Deceased Characters,373,Apr-63,1963
100,2239,Richard Rider (Earth-616),\/Richard_Rider_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,373,Sep-76,1976
101,1827,Hogun (Earth-616),\/Hogun_(Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,,Living Characters,371,Aug-65,1965
102,55878,Raven Darkholme (Earth-616),\/Raven_Darkholme_(Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,371,Apr-78,1978
103,2173,Barbara Morse (Earth-616),\/Barbara_Morse_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,368,Jun-71,1971
104,1179,Blackagar Boltagon (Earth-616),\/Blackagar_Boltagon_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,366,Dec-65,1965
105,2392,Brunnhilde (Earth-616),\/Brunnhilde_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,361,Dec-70,1970
106,1404,Alison Blaire (Earth-616),\/Alison_Blaire_(Earth-616),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,353,Feb-80,1980
107,18186,Venom (Symbiote) (Earth-616),\/Venom_(Symbiote)_(Earth-616),Known to Authorities Identity,Neutral Characters,Variable Eyes,No Hair,Agender Characters,,Living Characters,348,May-84,1984
108,1586,John Walker (Earth-616),\/John_Walker_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,346,Nov-86,1986
109,2440,Greer Grant (Earth-616),\/Greer_Grant_(Earth-616),Public Identity,Good Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,342,Nov-72,1972
110,2185,Karla Sofen (Earth-616),\/Karla_Sofen_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,340,Dec-75,1975
111,2382,William Baker (Earth-616),\/William_Baker_(Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,338,Sep-63,1963
112,1300,Sharon Carter (Earth-616),\/Sharon_Carter_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,332,Mar-66,1966
113,1180,Felicia Hardy (Earth-616),\/Felicia_Hardy_(Earth-616),Public Identity,Bad Characters,,Blond Hair,Female Characters,,Living Characters,332,Jul-79,1979
114,1901,Cain Marko (Earth-616),\/Cain_Marko_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,329,Jul-65,1965
115,37751,Monica Rambeau (Earth-616),\/Monica_Rambeau_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,327,,
116,20978,Maria Hill (Earth-616),\/Maria_Hill_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,325,Apr-05,2005
117,1161,Ben Urich (Earth-616),\/Ben_Urich_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,324,Jul-78,1978
118,2182,Heather Douglas (Earth-616),\/Heather_Douglas_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Bald,Female Characters,Bisexual Characters,Living Characters,323,Jan-73,1973
119,100209,Millicent Collins (Earth-616),\/Millicent_Collins_(Earth-616),Public Identity,,Blue Eyes,Blond Hair,Female Characters,,Living Characters,321,Dec-45,1945
120,1973,James Proudstar (Earth-616),\/James_Proudstar_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,320,Jun-84,1984
121,1633,Angelica Jones (Earth-616),\/Angelica_Jones_(Earth-616),Known to Authorities Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,319,May-85,1985
122,11857,Edward Brock (Earth-616),\/Edward_Brock_(Earth-616),Public Identity,Neutral Characters,Black Eyes,Blond Hair,Male Characters,,Living Characters,318,Sep-86,1986
123,2513,MacDonald Gargan (Earth-616),\/MacDonald_Gargan_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,,Living Characters,317,Dec-64,1964
124,2146,Mephisto (Earth-616),\/Mephisto_(Earth-616),No Dual Identity,Bad Characters,White Eyes,Black Hair,Male Characters,,Living Characters,316,Dec-68,1968
125,7630,Tabitha Smith (Earth-616),\/Tabitha_Smith_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,316,Nov-85,1985
126,2238,Jean-Paul Beaubier (Earth-616),\/Jean-Paul_Beaubier_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Homosexual Characters,Living Characters,313,Apr-79,1979
127,1706,Daniel Ketch (Earth-616),\/Daniel_Ketch_(Earth-616),Secret Identity,Neutral Characters,Green Eyes,Brown Hair,Male Characters,,Living Characters,311,May-90,1990
128,1460,Neena Thurman (Earth-616),\/Neena_Thurman_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,310,Mar-92,1992
129,2010,Wong (Earth-616),\/Wong_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Bald,Male Characters,,Living Characters,306,Jul-63,1963
130,2456,Thanos (Earth-616),\/Thanos_(Earth-616),No Dual Identity,Bad Characters,Red Eyes,No Hair,Male Characters,,Living Characters,306,Feb-73,1973
131,15282,Shang-Chi (Earth-616),\/Shang-Chi_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,296,Dec-73,1973
132,4704,Alicia Masters (Earth-616),\/Alicia_Masters_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,293,Nov-62,1962
133,5708,Robert Baldwin (Earth-616),\/Robert_Baldwin_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,293,Sep-88,1988
134,1902,Vance Astrovik (Earth-616),\/Vance_Astrovik_(Earth-616),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,,Living Characters,290,Jul-75,1975
135,6633,Wendell Vaughn (Earth-616),\/Wendell_Vaughn_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,290,Jan-78,1978
136,100716,Chili Storm (Earth-616),\/Chili_Storm_(Earth-616),Public Identity,,Green Eyes,Red Hair,Female Characters,Homosexual Characters,Living Characters,284,Oct-48,1948
137,4565,Abner Jenkins (Earth-616),\/Abner_Jenkins_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,284,Aug-64,1964
138,1505,Elektra Natchios (Earth-616),\/Elektra_Natchios_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,280,Jan-81,1981
139,1256,Bullseye (Lester) (Earth-616),\/Bullseye_(Lester)_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,277,Mar-76,1976
140,119507,Forge (Earth-616),\/Forge_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,276,Aug-84,1984
141,9106,Virginia Potts (Earth-616),\/Virginia_Potts_(Earth-616),No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,274,Sep-63,1963
142,2383,Walter Langkowski (Earth-616),\/Walter_Langkowski_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,273,Apr-79,1979
143,1733,Gorgon (Earth-616),\/Gorgon_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,272,Nov-65,1965
144,37689,James Madrox (Earth-616),\/James_Madrox_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,271,Feb-75,1975
145,1808,Heimdall (Earth-616),\/Heimdall_(Earth-616),Secret Identity,Good Characters,Grey Eyes,Brown Hair,Male Characters,,Living Characters,270,Oct-62,1962
146,2558,Theresa Cassidy (Earth-616),\/Theresa_Cassidy_(Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,267,Apr-81,1981
147,1565,Laura Kinney (Earth-616),\/Laura_Kinney_(Earth-616),Secret Identity,Good Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,265,Feb-04,2004
148,33447,Arthur Douglas (Earth-616),\/Arthur_Douglas_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,264,Feb-73,1973
149,2511,Peter Parker (Ben Reilly) (Earth-616),\/Peter_Parker_(Ben_Reilly)_(Earth-616),Secret Identity,Good Characters,Hazel Eyes,Blond Hair,Male Characters,,Deceased Characters,263,Oct-75,1975
150,1971,Warlock (Technarch) (Earth-616),\/Warlock_(Technarch)_(Earth-616),Secret Identity,Good Characters,Black Eyes,No Hair,Male Characters,,Living Characters,261,Aug-84,1984
151,1903,Kevin Plunder (Earth-616),\/Kevin_Plunder_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,260,Mar-65,1965
152,1445,Leonard Samson (Earth-616),\/Leonard_Samson_(Earth-616),Public Identity,Good Characters,Brown Eyes,Green Hair,Male Characters,,Deceased Characters,260,Jul-71,1971
153,2582,Melissa Gold (Earth-616),\/Melissa_Gold_(Earth-616),Secret Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,,Living Characters,260,Aug-79,1979
154,2037,Lockheed (Earth-616),\/Lockheed_(Earth-616),Secret Identity,Good Characters,,No Hair,Male Characters,,Living Characters,260,Feb-83,1983
